Review,Rating
I've been using your services from quite long but didn't knew your services lack so much. Your customer service people doesn't have a basic ethics of chat service where they ask for a permission before transferring. The very basic thing to know the issue is to raise a ticket number which isn't there in your chat system. Also the agent keeps of transferring internally doing nothing but waste customer's time and when we ask for a manager they can't even do that. The space is too to explain issue.,1
"Previously it was a good application, but after lockdown , they are not at all good for service, today I have placed order in dominoz pitza with Zomato, they have accepted the order, it's more than 1:30 mins gone , order not deliver, money got deducted also Zomato do not have any track that today the restaurant is open or not.... When I ask to cancel the order, then Zomato ask me to contact with Domino's",1
It's an amazing app and I've not had any issues which weren't quickly resolved. It only loses a star for me because Gold was replaced by Pro and it's not that great anymore. I also miss the levels which were present earlier which were based on the reviews written for various places. I do love the updates where ordering has become so much more easier based on the cuisine or food type.,4
This is such a bad app !! It'll have problem and then if we delete our account and login again with same number then also we're not getting offers So disgusting !! They don't even have Customer care number to contact if we have problem in app They'll give offers in phonepe but it's of no use What we'll do if coupons are of no use and we should believe their offers & coupons which doesn't work,1
"There's nothing safe in Zomato. I found small stones in my food literally. When I took pics of it and showed it to them, they don't seem to be agreeing. I am sure that the order was torn somehow and the dust entered with the small stones, yet Zomato neither refunded nor a new order reached. Totally unexpected this from Zomato. Such a shame on Zomato! :-(",1
"""Expected Time"" and actual delivery time are two completely different things. Not great when you're fasting all day and the food is 30 minutes late. Customer service is useless. It is not only the restaurant's fault, but Zomato's as well, for not having consequences for restaurants that don't deliver as promised.",1
"could improve on certain areas, once user keyed in, his 'address and 'location' that should be default, not your location specific landmarks! clients might order from all over India for their 'parents' or 'non-technical savvy' people who are located elsewhere! that's a real hiccup and irritant!",4
"Doesn't have proper location guide and view, address could not be edited had to re-enter again, offers are not good complaired to other service provider and many times offers are not available at all wherein others give much better offers. App gives fake information about temperature checking and hand sanitizing, I'm an eyewitness. Delivery charges are more than others. Zomato thinks that we should be generous to their partners wherein they themselves are stingy that too after looting us.",2
"I like the pro version, overall no complaints from ordering and finding restaurant perspective. Some restaurants food are not Upto standard. Few things that can be improved: 1. Adding instructions on text, instead of using the voice note. 2. Other day I placed an order at pizza hut the order was accepted, I called the restaurant and they reported no order was issued. Later, I called Zomato and they instantly refunded me along with 500INR coupon.",4
"App is forcing the customer to order food for more amount in case of high demand. It's doesn't allow the customer to proceed with payment for amount less than 300 when there is a high demand for orders. Customer's problems aren't solved here. They concentrate only on business and we did not expect this from Zomato. Well I could order food for less price from swiggy than what I actually added in Zomato cart, and well yeah, that's how you lost a customer.",1
The GPS does not provide proper location and approach road to the rider. This issue is not seen with riders of other delivery agencies. Of late orders deliveries are delayed than the expected deliveey time shown at the time of ordering. More control on hotels needed.,2
"Their live chat feature is helpful, but you need really good internet for the app to work properly, otherwise the payment screen will keep showing an error and you won't be able to place your order.",5
"I have been facing card payments issue since 4 years.(Credit/ debit card payment option was disabled while choosing payment option on checkout time). It seems to be specific user issue. Many times shared error screenshots to concerned team. But no response from them. By this time don't give reply to this like 'sorry for the inconvenience , please send error screenshots to Zomato help desk'. If the solution is present, then fix the issue otherwise ignore this review.",1
"App may serve the purpose of food delivery nicely but when it comes to treating them as gifts it puts our intention and effort in vain. You write a note, prepare a card and it doesn't reach or request delivery to the addressed person specifically and it never happens. It is requested if you can't handle the gift services to the desired standard please remove the option.",2
Worst experience in terms of app. I have received the 31AED as voucher for my order and it was mentioned to use within 30 days. But I thought i can use for partial order as I didn't get any instructions in message which I received. So I ordered one item which is equal to 6 AED so remaining 25 AED should be there in my wallet. Unfortunately wallet value is 0.00 hence I checked with customer care but he given the comments as you can use only one time and you didn't plan properly to use the coupon,1
"There's an issue with the application since a long time. Whenever I'm trying to place the order and pay through 'Sodexo', after redirecting from the payment gateway the amount get's deducted from my card but the order doesn't get placed. Then I have to wait for the payment to be transferred back into my account. This is a consistent bug in the application.",1
"Initially I never had to face any problems while ordering food but now whenever I try to move forward from the cart it says "" something wrong! Please check if its already ordered."" I am facing this perticular problem is happening since almost a year now and reinstalling the app does not come to rescue in any way.",1
It's is good food delivery app if ordered means they'll arrive within 25 to 30 minutes but one thing is they need to update their location option because the location is not proper it is showing wrongly.so always I'll talk to the delivery boy he don't my home.zomato needs change this one thing alone.location is very wrost in zomato,4
"Viewing the items which I am trying to order from the cart list is not possible, even after clicking on the item name, item photo, from cart list its not opening the item details. If this feature would be added, then it will be awesome.",4
WORST FOOD DELIVERY APP EVER. I WONDER THAT HOW IS IT SO FAMOUS. WHEN YOUR ORDER HAS MISSING ITEMS THEY DONT EVEN REFUND BACK. Most of the times it makes mistake in orders and most of the time the delivery boys are careless and the food is not packed properly. THE CUSTOMER SERVICE IS THE WORST OF THIS APP COMPARED TO ALL THE APPS IN THE WORLD. AND NOT JUST ONCE OR TWICE. THEY HAVE MADE MANY MISTAKES WITH MY ORDERS MUKTIPLE TIMES,1
"I love this app. I get reliable reviews, can search by cuisine and geography, and get a good percentage discount on certain restaurants, all at one place. I enjoyed the 1+1 discounts a lot more, but I understand that its removed because people aren't making money. I still enjoy the app",5
Poor or no customer support for wrong or incomplete orders Actually customer support should be top priority but there is no customer care no and the customer support chat is inactive so there is No way to complain about wrong or incomplete orders. The delivery Valet also does not take responsibility and says we delivered what the restaurant gave and it is the responsibility of the restaurant to hand over proper order leaving us with the feeling of being cheated by Zomato and restaurant,1
"I wouldn't even give a single star, to this worst app.Till now I was using it everyday for orders , and now it's just not taking any saying it's a pro delivery restaurant. So for that you must take a pro membership. when I ought not to take one , ithas increased its fare for like every single order. That's really low. Feat really low. We are facing problems going out in night curfews and the orders are pouring in , still you care about your pro membership .....",1
Charges are extra as compared to price on the menu of the restaurant. This is fooling customers. I do not understand why people are not directly calling the restaurant for food delivery. The restaurant doesnot charge extra for container charges.. No extra tax or delivery charges People need to call the restaurant directly for delivery..,1
"I've placed an order on Zomato where I made the payment using my debit card. I picked up that restaurant specifically because it showed, that I'll receive my order with in 36 mins. After one hour i'd to cancel my order and till now my money is not refunded. Zomato seems to be a fraud online app and I'm not going to use it in the future from now on.",1
"Horrible customer service. Restaurant sent the wrong dish and zomato didn't bother about it when informed. The convenience of ordering from the app is not worth it when you don't get what you order. Would be much better to simply check restaurants, their menus on Zomato and then call the restaurant directly to place an order, since most of them deliver anyway. At least somebody will take responsibility of orders gone wrong.",1
I don't know why they kept the order support team when they aren't able to ans the cx quiery. First of all they haven't deliver me the food good and moreover while I've chatted with 4 agents they just transferred my chat to some other agents and wasted my time and my money they are just robbering the cx amount in form of home deliver they won't even responded to the cx query nd moreover the support agents order us to help them rather they have help us. He asked me to write a feedback instead.,1
"The new UI sucks. It was better before this update. Simpler. They have cluttered it with unnecessary drawer motions and map change. A note to the developers : ""when you have built the brand and people are used to the old interface, don't keep changing it again and again. People associate certain comforts with it. The moment you change it it's wierd for a while."" Change is good but not everywhere.",2
Zero stars for the new customer rating feature introduced. It reminds me of the dystopian future in one of the Black Mirror episodes where people rate each other based on mere seconds of interactions. This is not a ride hailing service where the delivery person and the customer interact for long. Introducing such a system in food delivery is a predicament mandated upon us by a senile set of individuals. Disapprove of every bit of this idea.,1
